詞彙,詞類
我,N
你/妳,N
他/她,N
我們,N
你們/妳們,N
他們/她們,N
您,N
誰,N
人,N
中國,N
美國,N
日本,N
台灣,N
名字(˙ㄗ),N
家,N
電話,N
現在,N
今年,N
今天,N
明天,N
昨天,N
早上,N
上午,N
中午,N
下午,N
晚上,N
一,N
二,N
三,N
四,N
五,N
六,N
七,N
八,N
九,N
十,N
零,N
兩,N
時候,N
百,N
半,N
爸爸,N
媽媽,N
哥哥,N
弟弟,N
姊姊/姐姐,N
妹妹,N
住,V
來,V
是,Vst
姓,Vst
覺得,Vst
喜歡,Vst
打電話,Vi
高興,Vs
漂亮,Vs
高,Vs
電腦,N
老師,N
買,V
忙,Vs
學生,N
大學,N
學校,N
字,N
筆,N
學,V
問,V
說,V
寫,V
聽,V
練習,V
能,Vaux
可以,Vaux
上課,V-sep
知道,Vst
電視(機),N
水,N
書,N
電影,N
以前,N
以後,N
走,V
等,V
看,V
什麼,N
朋友,N
東西,N
找,V
做,V
再見,Vi
怎麼樣,Vs
叫,Vst
謝謝,Vst
公共汽車/公車,N
車(子),N
到,V
去,V
回,V
坐,Vi
開車,V-sep
錢,N
多少,N
給,V
貴,Vs
便宜,Vs
大,Vs
小,Vs
難,Vs
容易,Vs
有,Vst
想,Vst
飯,N
吃,V
請,V
男,N
女,N
孩子,N
小姐,N
先生,N
太太,N
女兒,N
兒子,N
大家,N
路,N
手機,N
號碼,N
明年,N
去年,N
生日,N
月,N
日,N
星期,N
星期天/星期日,N
週末,N
天,N
在,Vst
笑,Vi
愛,Vst
好看,Vs
快樂,Vs
工作,N
醫生,N
醫院,N
公司,N
賣,V
準備,V
中學,N
年級,N
英文,N
紙,N
問題,N
意思,N
圖書館,N
數學,N
歷史,N
餐廳/飯館,N
學習,V
參加,V
畫,V
讀,V
會,Vaux
有趣,Vs
為什麼,Vs
下課,V-sep
說話,V-sep
考試,V-sep
考試,N
懂,Vst
天氣,N
房子,N
門,N
山,N
客廳,N
河,N
狗,N
花,N
風,N
海,N
魚,N
樹,N
開,V
冷,Vs
熱,Vs
洗澡,V-sep
咖啡,N
茶,N
生活,N
用,V
洗,V
穿,V
起床,Vp
方便,Vs
睡覺,V-sep
音樂,N
票,N
照片,N
打,V
玩,V
跑,Vi
運動,Vi
運動,N
開始,Vp
走路,V-sep
唱歌,V-sep
信,N
介紹,V
換,V
認識,Vpt
沒關係(˙ㄒㄧ),Vs
哪裡/哪兒,N
這裡/這兒,N
那裡/那兒,N
上(面),N
下(面),N
外(面),N
前(面),N
後(面),N
右邊,N
左邊,N
旁邊,N
中間,N
地鐵,N
地方,N
附近,N
送,V
帶,V
放,V
拿,V
進來,Vi
出去,Vi
站,Vi
快,Vs
慢,Vs
近,Vs
遠,Vs
手,N
身體,N
眼睛,N
藥,N
累,Vs
鞋子,N
褲子,N
市場,N
衣服,N
要,V
要,Vaux
長,Vs
新,Vs
一樣,Vs
好吃,Vs
菜,N
蘋果,N
肉,N
酒,N
喝,V
少,Vs-pred
多,Vs-pred
可能,Vaux
姓名,N
公園,N
國家,N
城市,N
街,N
電子郵件,N
結婚,Vp-sep
小時,N
夏天,N
冬天,N
秋天,N
春天,N
年輕,Vs
老,Vs
男生,N
女生,N
小孩,N
家人,N
緊張,Vs
可愛,Vs
胖,Vs
